fan_state,window_start,window_end,accel_x_g_mean,accel_x_g_std,accel_x_g_skew,accel_x_g_kurtosis,accel_x_g_rms,accel_x_g_peak,accel_x_g_root_amplitude,accel_x_g_crest_factor,accel_x_g_shape_factor,accel_x_g_impulse_factor,accel_x_g_clearance_factor,accel_y_g_mean,accel_y_g_std,accel_y_g_skew,accel_y_g_kurtosis,accel_y_g_rms,accel_y_g_peak,accel_y_g_root_amplitude,accel_y_g_crest_factor,accel_y_g_shape_factor,accel_y_g_impulse_factor,accel_y_g_clearance_factor,accel_z_g_mean,accel_z_g_std,accel_z_g_skew,accel_z_g_kurtosis,accel_z_g_rms,accel_z_g_peak,accel_z_g_root_amplitude,accel_z_g_crest_factor,accel_z_g_shape_factor,accel_z_g_impulse_factor,accel_z_g_clearance_factor,gyro_x_dps_mean,gyro_x_dps_std,gyro_x_dps_skew,gyro_x_dps_kurtosis,gyro_x_dps_rms,gyro_x_dps_peak,gyro_x_dps_root_amplitude,gyro_x_dps_crest_factor,gyro_x_dps_shape_factor,gyro_x_dps_impulse_factor,gyro_x_dps_clearance_factor,gyro_y_dps_mean,gyro_y_dps_std,gyro_y_dps_skew,gyro_y_dps_kurtosis,gyro_y_dps_rms,gyro_y_dps_peak,gyro_y_dps_root_amplitude,gyro_y_dps_crest_factor,gyro_y_dps_shape_factor,gyro_y_dps_impulse_factor,gyro_y_dps_clearance_factor,gyro_z_dps_mean,gyro_z_dps_std,gyro_z_dps_skew,gyro_z_dps_kurtosis,gyro_z_dps_rms,gyro_z_dps_peak,gyro_z_dps_root_amplitude,gyro_z_dps_crest_factor,gyro_z_dps_shape_factor,gyro_z_dps_impulse_factor,gyro_z_dps_clearance_factor
MEDIUM,760,860,0.28831788,0.07471865429613679,-0.3425708845550736,-0.8007221997666383,0.2978423697654852,0.417969,0.2829804897415665,1.4033228392894534,1.0330346829876982,1.449681164414777,1.4770240887692028,-0.0200122134,0.1343970962678753,-0.09777962571396223,-1.0005140499109328,0.13587887315695432,0.306885,0.10384842498236059,2.2585188769229467,1.1637423625237326,2.6283340936347575,2.9551242597287986,-1.0841996999999999,0.02162601685262453,0.07772706645694875,-0.6824453381336961,1.0844153604984577,1.12671,1.084091746925266,1.0390022504680323,1.0001989121547052,1.0392089206444166,1.0393124043196613,-1.0687788080000002,0.8895652255550888,0.22248170747938817,-0.1148081156794607,1.390544652626005,3.15267,1.0705549434532435,2.2672195344797235,1.1676259952988772,2.647264465507944,2.9448932250320254,0.524732451,2.2448232077712027,-0.10660270977638141,-0.4665758020729607,2.3053362833393005,5.40458,1.6513806052440003,2.3443781452011927,1.2135300017926414,2.844973214748632,3.272764608496443,2.2803815299999997,12.82554698860296,-0.15305453728339477,-0.9606908373690852,13.02669549345603,25.0611,9.70856473081286,1.9238263466425127,1.1802725617983174,2.2706394506068563,2.581339332317737
MEDIUM,780,880,0.28843019,0.07484016436763018,-0.3403078710286069,-0.7428423111927525,0.29798158450818735,0.417969,0.2830703453790935,1.4026672174720107,1.0331150997341414,1.449116682272407,1.47655523378914,-0.0309716902,0.1289607899374505,-0.005169803608720282,-0.8948017591318131,0.1326277909607787,0.306885,0.09876041244198767,2.3138815611484733,1.1807586217552228,2.7321356030464945,3.107368553976683,-1.0831913000000002,0.021645412800637476,-0.05258840858207555,-0.7066811066208403,1.0834075485665586,1.12671,1.0830831935033658,1.03996875551655,1.000199640235809,1.0401763751241355,1.0402801989342279,-0.947633825,0.9047667763892291,0.08014144257355527,-0.33559426479286447,1.310195705206626,3.15267,0.9713714409668962,2.406258841691749,1.1925765339083085,2.869647829110967,3.245586463672285,0.46396924400000006,2.2369517434333996,-0.08551885168298803,-0.41867363759179677,2.284561349981142,5.40458,1.5802874410620893,2.365697029779749,1.2328125094147582,2.916460891797812,3.4199980709633793,-0.0775566099999996,13.474420922185537,0.04800021113004181,-1.0913292468482714,13.474644122053322,25.0611,10.152429957417503,1.8598710120279665,1.1713350470894317,2.178532099454047,2.4684829252813527
MEDIUM,800,900,0.28599366,0.06818737542070673,-0.22872609931864687,-0.6793829399579074,0.2940100197730683,0.411133,0.2816186002222302,1.398363907180215,1.0280298513368034,1.4375598396132279,1.4598929178526125,-0.004191880899999997,0.1253371167856739,-0.15596299574417194,-0.9484529556281003,0.12540719560545735,0.306885,0.09447821734834291,2.4471083857539453,1.1686753554345426,2.859875262507842,3.2482090434508244,-1.084429,0.021361195870081822,-0.020652740407581468,-0.7340545874363178,1.084639367130845,1.12671,1.0843238012250405,1.0387876691037343,1.0001939888465219,1.038989182325445,1.039089982832686,-0.921679565,0.9379463081270888,-0.041762915417027535,-0.3939869376343976,1.3150043716535034,3.15267,0.9507798079134278,2.397459710370234,1.2095601558698084,2.8998717409670065,3.315878159969362,0.48610668599999995,1.9636826172450992,-0.09970881146365877,-0.43198749548434545,2.022955543615446,5.32824,1.3739622638557005,2.6338888250986066,1.2405542830133132,3.26748206295698,3.8780104375265396,0.70290456,14.029315687166491,0.008608924796157547,-1.1850301281317437,14.046913307579162,25.4962,10.735537548792022,1.815074916582795,1.1600966312676326,2.10566229622608,2.3749346396603
MEDIUM,820,920,0.28303714,0.07350599401178383,-0.2699042948435384,-0.727498380886292,0.2924263219599768,0.411133,0.2778208401315136,1.405937048499588,1.0331729679008796,1.4525761530801222,1.4798493871279768,-0.028278790300000002,0.1302808027650217,0.05543333244645622,-1.106487342370662,0.1333145811602387,0.30542,0.10170027733975266,2.290972205305117,1.1582000536923711,2.653404131192116,3.0031383196692354,-1.0839211999999998,0.01919419663752564,-0.09228261032758406,-0.5128510741252277,1.0840911331590164,1.12622,1.0838362771453625,1.0388610012132662,1.0001567763034958,1.0390238700008823,1.0391052816263624,-0.9404581349999998,0.9492177819469971,0.01758132560956751,-0.34432586759170025,1.336217011286735,3.15267,0.9583969811635296,2.359399688351578,1.212218832904279,2.8601087365682694,3.2895241345319572,0.5476335370000001,2.08961226898238,-0.03366600540050574,-0.3835908668869106,2.160180993696783,5.32824,1.4087159200764432,2.4665710954532667,1.2681891550348543,3.128078713376273,3.782338173413179,2.03481404,13.818606485146704,-0.23107208725658526,-0.9702181442989062,13.967618027735424,25.4962,10.263279052658731,1.8253792414263,1.185030240760496,2.1631296019466197,2.4842158017125278
MEDIUM,840,940,0.27999271,0.075854079172355,-0.21158448177540334,-0.9354456731230001,0.2900857786590546,0.411133,0.2744267255154961,1.4172807846716795,1.0360476123076727,1.4683703729286381,1.4981521906356186,-0.022072726,0.13169277322572912,-0.0534794351818469,-1.1552844588160363,0.13352974108023422,0.30542,0.1012863082902946,2.2872807026299995,1.1610049693824773,2.6555442621260736,3.015412499038291,-1.0840334,0.01960879018297663,-0.1883916145570032,-0.27749142721919373,1.0842107345751562,1.12891,1.0839448536903995,1.0412274698998985,1.0001635877410753,1.0413978019496448,1.0414828726355516,-0.8314506440000002,0.9173656599996971,-0.014849801417792135,-0.5182756108903468,1.2380912436305713,2.91603,0.8601577772332233,2.3552625987799183,1.2311363181909374,2.8996493242347277,3.390110602010342,0.531526726,2.1719428979167343,0.031047431064340054,-0.572149773142387,2.236035914797261,5.32824,1.5131519557124375,2.3828955361314517,1.2457819258093403,2.9685681900043206,3.521285472939368,-0.423126486,13.49618069811185,0.026179354258634508,-0.9881518263513063,13.50281190934842,25.4962,9.860955048957027,1.8882141120804758,1.1911329790420928,2.249114100391737,2.5855710601476356
MEDIUM,860,960,0.2822534199999999,0.07296495544686914,-0.18146324605495878,-0.9794364948918899,0.2915319499215481,0.407227,0.27720835940155497,1.3968520435224534,1.0328730469290617,1.4427708263021228,1.469028570708087,-0.0071166554,0.1256139281869995,-0.29085150590598347,-0.8297129775525907,0.12581536368286275,0.30542,0.09171988860100802,2.4275254711329115,1.191619807057907,2.892687433539555,3.329921183491749,-1.0838552000000001,0.019465672784674058,-0.05079872092083502,-0.2100243266015953,1.0840299843565215,1.12891,1.083767817768482,1.0414010832644258,1.0001612617225266,1.0415690213969542,1.0416530012161347,-0.9231300739999999,0.976624908561439,-0.08915358382781559,-0.3635137868227196,1.343862100643472,3.32824,0.9306259491532799,2.4766231582886093,1.2325553040099262,3.0525750097824402,3.576345580120739,0.5267940560000001,2.052080530393048,0.08688542383337944,-0.594110100929993,2.1186190031846555,4.75573,1.4312008145824469,2.2447311162843837,1.2465263484233162,2.798116481574167,3.3228949784992157,1.8238194740000002,14.017702851629824,-0.14142535833709544,-1.0461977226609471,14.135851962663326,25.4962,10.603159911213872,1.8036549949265515,1.173508576317482,2.1166046052641723,2.4045850683658267
MEDIUM,880,980,0.28447267,0.07577656715582398,-0.2313248509110565,-1.1025796423562322,0.29439223513341856,0.401855,0.2790323105547862,1.3650326063045763,1.0348700110046374,1.412631308308106,1.4401737175204243,-0.0305492819,0.12496502237553765,-0.07954149884443201,-0.8781753875530041,0.12864492000045818,0.30542,0.09310703429123815,2.374131835123472,1.197812334196668,2.8437643951198646,3.280310691076771,-1.0832130000000002,0.019336579351064143,0.05546653496223787,0.0027550370246154365,1.0833855761777522,1.12891,1.083126638107746,1.0420205186623037,1.000159318783796,1.0421865321040273,1.042269629682674,-0.9190078639999999,0.9886921931547438,-0.05772476912283962,-0.4121329379285563,1.3498472902143337,3.32824,0.9293535970346674,2.4656418723272986,1.2335538752680508,3.0415020866325118,3.581241855220202,0.5232062630000001,2.1974530097066336,0.022222526301715468,-0.7848582733456992,2.2588812548496584,4.75573,1.6047570435372807,2.1053474988071126,1.21345631327425,2.554747214063642,2.9635202532074243,1.3224437530000008,14.472685094475377,-0.13378279260240358,-1.1177395673191615,14.532978749165585,25.4962,10.940991494723331,1.7543684911439008,1.166299034089043,2.046118276657383,2.3303372470672716
MEDIUM,900,1000,0.2825,0.07518772136406315,-0.23862989734542225,-1.1099992263014231,0.29233447187069816,0.401855,0.2771044167847209,1.3746411684823254,1.0348122898077812,1.4224955752212392,1.4501934132367018,-0.013425272600000003,0.13237026447120603,-0.1405754343667544,-0.8379999330574988,0.13304933243185155,0.30542,0.09515796953727038,2.295539514686686,1.2036358517062342,2.7629936588852244,3.209610308891434,-1.0826710000000002,0.02123653406278906,0.10339816869229525,-0.23691051208856617,1.0828792567133234,1.12891,1.0825667237365761,1.0425077338967466,1.0001923545687685,1.0427082650223383,1.0428087019924888,-0.8912980229999999,1.0476390143785268,-0.06891270311812225,-0.5654409333414221,1.3754852490127691,3.32824,0.9372625273468945,2.4196842549847677,1.2413097125256323,3.0035775669579405,3.551022155362635,0.517633827,2.1876814254254255,-0.007656808945762652,-0.7690738849701511,2.248086919584314,4.75573,1.5918196246509837,2.115456461478529,1.2138797471135454,2.5679097544892726,2.9876060869916232,-0.4015264069999999,13.634340074824244,0.023509184575077852,-0.9488276133125817,13.640251197521135,26.4504,9.943210410411865,1.9391431739033422,1.1916457324601726,2.310771687811192,2.660146864870013
MEDIUM,920,1020,0.28735594000000003,0.0730141488525094,-0.16583234365052055,-1.1207180330844742,0.29648693425839184,0.406738,0.28243560734998713,1.3718580922204249,1.0317759022430224,1.4154501208501205,1.4401087873314091,-0.015224584200000002,0.13347168699046733,-0.1464471152136823,-0.8187464698116624,0.13433718469636088,0.284668,0.09556176689462843,2.119055871562503,1.2087458206077046,2.5613999283853928,2.978890085968066,-1.083037,0.02120006879705818,0.1583577600442989,-0.30025152717550085,1.083244472077287,1.12891,1.0829330619151933,1.0421562529048891,1.0001915650871456,1.0423558936582962,1.0424559372150808,-1.043511737,1.034346771439887,-0.007876648829258943,-0.8379880279136649,1.4692821338479807,3.32824,1.0198130908932006,2.265215048442396,1.2236231714873433,2.7717696216759404,3.2635784240472634,0.577862796,2.2027200937423608,0.1636054440239174,-0.6818269689575205,2.277257390453985,5.72519,1.5833778714463658,2.5140724206228833,1.2297827147912324,3.091762806615374,3.615807763417976,2.3903804590000006,13.13964121207629,-0.16880980189073838,-0.8377715351495012,13.355301940460302,26.4504,9.72976545893113,1.9805168103214266,1.1910735878276018,2.3589412630224196,2.7185033505325342
MEDIUM,940,1040,0.28871826,0.07030225072437155,-0.16167604448740044,-0.9932243105444916,0.2971542362382539,0.406738,0.2841842191452792,1.3687773903175435,1.0292187139055697,1.408771305285644,1.4312476647131116,-0.0329247674,0.12972821322365993,0.04695033814547981,-0.6690441595112411,0.13384113573392703,0.284668,0.09177078943479815,2.1269096263940344,1.2328267737461738,2.622111132757037,3.1019456381842785,-1.0832469999999998,0.020699141262380902,0.21713908146286479,-0.37335870211042765,1.083444745918314,1.12842,1.0831478852449197,1.0415113500260371,1.0001825492415988,1.0417014771331008,1.0417967992845625,-0.9764125220000001,1.076510923374324,0.05268305711979474,-0.7977302422593628,1.4533606507892802,3.32824,1.0389992056459907,2.290030350135408,1.209364156650313,2.769480623095129,3.20331332489392,0.681908436,2.158952685443177,0.09978527549726642,-0.6623769391020962,2.2640838794245837,5.72519,1.5741735258321636,2.528700483241396,1.2288999011260642,3.107519773832782,3.6369497428648865,0.7830529250000003,13.843470428628613,-0.0383766461074612,-1.0062378467326654,13.865599352053483,26.4504,10.410605736927534,1.9076275989528515,1.1724110977330326,2.2365237673541416,2.540716714127171
