fan_state,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_mean,accel_x_g_std,accel_x_g_skew,accel_x_g_kurtosis,accel_x_g_rms,accel_x_g_peak,accel_x_g_root_amplitude,accel_x_g_crest_factor,accel_x_g_shape_factor,accel_x_g_impulse_factor,accel_x_g_clearance_factor,accel_y_g_mean,accel_y_g_std,accel_y_g_skew,accel_y_g_kurtosis,accel_y_g_rms,accel_y_g_peak,accel_y_g_root_amplitude,accel_y_g_crest_factor,accel_y_g_shape_factor,accel_y_g_impulse_factor,accel_y_g_clearance_factor,accel_z_g_mean,accel_z_g_std,accel_z_g_skew,accel_z_g_kurtosis,accel_z_g_rms,accel_z_g_peak,accel_z_g_root_amplitude,accel_z_g_crest_factor,accel_z_g_shape_factor,accel_z_g_impulse_factor,accel_z_g_clearance_factor,gyro_x_dps_mean,gyro_x_dps_std,gyro_x_dps_skew,gyro_x_dps_kurtosis,gyro_x_dps_rms,gyro_x_dps_peak,gyro_x_dps_root_amplitude,gyro_x_dps_crest_factor,gyro_x_dps_shape_factor,gyro_x_dps_impulse_factor,gyro_x_dps_clearance_factor,gyro_y_dps_mean,gyro_y_dps_std,gyro_y_dps_skew,gyro_y_dps_kurtosis,gyro_y_dps_rms,gyro_y_dps_peak,gyro_y_dps_root_amplitude,gyro_y_dps_crest_factor,gyro_y_dps_shape_factor,gyro_y_dps_impulse_factor,gyro_y_dps_clearance_factor,gyro_z_dps_mean,gyro_z_dps_std,gyro_z_dps_skew,gyro_z_dps_kurtosis,gyro_z_dps_rms,gyro_z_dps_peak,gyro_z_dps_root_amplitude,gyro_z_dps_crest_factor,gyro_z_dps_shape_factor,gyro_z_dps_impulse_factor,gyro_z_dps_clearance_factor
LOW,0,100,1769917619.1583,1769917626.1717,1769917622.60827,0.284226114,0.07915757441164177,-0.28629552576050404,-0.7422871675781701,0.2950430569701236,0.441895,0.27811885174188816,1.4977305500354368,1.0380575268679346,1.554730470684337,1.5888710787937037,0.029235865280000006,0.11327647705590844,-0.4665446061845305,-0.5690780513205733,0.1169884441851761,0.263672,0.08757646600257246,2.2538294430400723,1.1770976122100343,2.65297725573114,3.0107631882777155,-1.0802979999999998,0.023527629629862837,-0.09687804371783625,-0.7098431785943666,1.0805541717840896,1.13525,1.0801699945970304,1.0506183120144756,1.000237130665881,1.0508674458343905,1.0509919787426774,-0.454732517,0.9479546706395532,0.24126342847750418,-0.12484270397146568,1.0513799121176413,2.60305,0.7466964759067805,2.475841482226017,1.2215590583934142,3.024386589759368,3.4860885031483284,0.7869466900000001,2.78767477424292,0.23288945732164582,-0.8484098477543522,2.8966214353712623,7.0687,2.115297569792851,2.440325792553558,1.2038242608671037,2.9377233934957157,3.341704779953125,-10.087328773000001,8.530696417722687,-0.05521802723578637,-1.024296040683065,13.210866101279672,24.8244,9.13350297169244,1.8790895168936261,1.2212429326819902,2.294824792383156,2.717949518047842
LOW,20,120,1769917620.5494,1769917627.5229,1769917624.0891879,0.276709024,0.08147680127933978,-0.21225147762756716,-0.8627200038932381,0.28845511454946615,0.441895,0.27010994825607426,1.5319367822275898,1.0424492500449358,1.5969663497494029,1.6359819505095277,0.08018066927999999,0.08659585396730334,-0.5522813243370676,-0.09997507116471782,0.11801602285501431,0.220459,0.0893403658075628,1.868042954394756,1.168633700798383,2.1830579510446886,2.467630370742648,-1.0808375000000001,0.023695532506149745,-0.11273971864774579,-0.8513664124523204,1.0810972110161972,1.12939,1.0807077515566175,1.0446701633226942,1.0002402868296085,1.0449211838042256,1.0450466357563013,-0.588778408,0.9988171483419228,0.3303452108933762,-0.2859325184522512,1.1594376695402409,2.60305,0.847976111913904,2.245096971044769,1.1986927993652225,2.6911815730680355,3.069720907732706,0.83137441,2.9624303288533254,0.10532429637558786,-0.7914665117841975,3.0768777783514363,7.38931,2.2562027056869076,2.401561105868536,1.1998660270634454,2.8815515828485747,3.275109094309105,-5.5869480629999995,10.777863048050431,0.20249024499223162,-0.2636585491268053,12.139864930928614,24.8244,7.748150723104483,2.0448662436725407,1.2742865503658527,2.605745551609061,3.203912893172722
LOW,40,140,1769917622.1994,1769917628.627,1769917625.411792,0.27377931399999994,0.08091067513081944,-0.10652134559795684,-0.8185263942906214,0.2854849385246717,0.441895,0.26729976303148356,1.5478750027361294,1.0427556938237919,1.6140554724306164,1.6531814132134188,0.09801759140000002,0.06872693487826415,-0.28829323457771233,-0.4445311127846052,0.11971148567125259,0.220459,0.09411372815868488,1.841586032984476,1.1463463411776686,2.1110954108756514,2.3424744116850276,-1.0808886999999998,0.02371917164046838,0.014637032457590193,-0.6750228304025403,1.0811489170743318,1.12964,1.0807585132609059,1.0448514373550766,1.0002407436346887,1.0451029786878152,1.0452288704084385,-0.901526622,1.065867878451705,0.4262215920213803,-0.12291524428724987,1.3960030746706362,3.18321,1.02927773191291,2.2802313675068557,1.189517460345253,2.712375025276338,3.092663817844395,0.6992369299999999,2.796320562231084,0.06773851050966957,-0.6489902714119284,2.8824192913301476,7.38931,2.0824435551814995,2.563579151106105,1.2089289556834784,3.099185065958641,3.548384291912282,0.10328133700000042,11.567279823739714,-0.005643696253411991,-0.5579174047854036,11.567740901112385,24.1832,7.373982667763332,2.0905724122567855,1.2728139148997695,2.6609096564260137,3.279530355518888
LOW,60,160,1769917623.4992,1769917630.277,1769917626.6982272,0.275075704,0.07932274147954031,-0.17645437837704386,-0.7556103859273615,0.2862843695470041,0.441895,0.26881763753754506,1.5435526595434568,1.04074756652083,1.6064486742166078,1.643846750711369,0.08194092649999998,0.08272049622493742,-0.47956527304755936,-0.2248451183901543,0.11643451348882033,0.220459,0.08809666529145131,1.8934162508538994,1.1659677317286767,2.2076622512263366,2.5024670260860917,-1.0819796999999998,0.02558888119691831,0.20788457806241256,-0.5770579281021457,1.082282246945315,1.12964,1.081827973980792,1.0437573037794436,1.000279623495076,1.0440491628447375,1.0441955903980507,-1.1445034820000002,0.9532886346415156,0.2990612387490575,-0.5049687206589479,1.489512484421265,3.18321,1.1307362697343595,2.137081785680235,1.1684903386539696,2.497159419480728,2.8151657333392355,0.7031301929999999,2.750837258724776,0.07981902259286258,-0.5448817787970062,2.83927767086924,7.38931,1.9653190122633335,2.6025316494451123,1.2334449825233398,3.210079604866265,3.7598527027376587,6.105343666999999,11.025303789878919,-0.12935480186733259,-0.6291268904771692,12.60287843912237,25.6107,8.122058175219058,2.032131002747612,1.2632965548235955,2.567184094721277,3.153227845392681
LOW,80,180,1769917624.5717,1769917631.5519,1769917628.1652749,0.282858904,0.08068538015231995,-0.30968163362126716,-0.6802233392300736,0.29414161579485076,0.441895,0.2764202550137235,1.5023205703343927,1.0398881266783482,1.5622453235553793,1.5986346585855695,0.04453369539999999,0.10831619864629087,-0.35218286786196773,-0.6713671500181948,0.11711382888097684,0.238037,0.08846476567517625,2.0325268354253687,1.1708239694069413,2.379731137378859,2.6907548805817347,-1.0803658,0.02569170318137744,0.08736537374914713,-0.6906970908363048,1.0806712383616026,1.12964,1.0802128432136402,1.0453132829857104,1.0002827175403022,1.0456088113859212,1.0457568682846925,-1.3235112049999995,0.9090565272476682,0.43741005014991513,-0.30952806837035407,1.6056355998457876,3.18321,1.285216110930255,1.98252330747134,1.1368409405535809,2.253813661535114,2.476789679905237,0.6435115229999999,2.83373648180419,0.18309725747321304,-0.459013826414433,2.905885326116942,7.38931,1.897483481784077,2.542877357749743,1.270767039771148,3.2314047324087194,3.8942684196925526,10.441297177000001,8.949421402875695,-0.11117509796569845,-0.9212255553668292,13.75183006674667,25.6107,9.484154169485087,1.8623484929419896,1.2179387425368602,2.268226381659183,2.700367322412522
LOW,100,200,1769917626.2217,1769917632.6377,1769917629.474106,0.29053222,0.07425428343181019,-0.27479312229250363,-0.848477060767407,0.2998710880796947,0.422607,0.2853757564971606,1.4092955833330842,1.0321440013768342,1.4545959825041093,1.4808791229755522,-0.011953121599999998,0.11856792352549926,0.10206358394349078,-0.940831248760504,0.11916891207497458,0.244385,0.08972069899297151,2.0507445754497304,1.1725101263853346,2.4045187813446027,2.7238419087566905,-1.0790157,0.026058498508356148,0.058591692575737736,-0.7240986932911606,1.079330313755247,1.12964,1.078858198965851,1.0466119459479588,1.0002915747706425,1.04691711158605,1.0470699495845017,-1.409847326,0.8172123391842939,0.4108938120648262,-0.03867434829563976,1.6295721800351206,3.18321,1.3476160196682283,1.9534022726942941,1.117255279057295,2.182449001290218,2.362104600673773,0.6887787329999999,2.8188001853611886,0.27228739789220746,-0.4591513021713096,2.901732349481143,7.38931,1.9077106928862777,2.546516738982242,1.2692474462618384,3.232159867816235,3.8733912996106956,12.4804576,7.619272344910292,-0.11775169241907056,-1.101836123415033,14.622418848169838,25.6107,11.073405160705343,1.7514680892351453,1.1608892643056243,2.033260501566965,2.3128116083823196
LOW,120,220,1769917627.5512,1769917634.3377,1769917630.7585373,0.29181153000000004,0.07523426196241378,-0.29054436515389404,-0.8741890510239023,0.30135388368821464,0.422607,0.2865297625312698,1.4023612200639024,1.0327003997690378,1.4482189925805877,1.4749148439819744,-0.0679077076,0.10221422642980246,0.3840628481747154,-0.6298025768652709,0.12271595184054118,0.25293,0.09283983126585009,2.0611012358740513,1.168207281388514,2.407793471426932,2.7243694495278232,-1.0785201,0.026112836019666644,0.16080866034272195,-0.7913249306038144,1.0788361721359736,1.12964,1.0783616743683164,1.0470913278365894,1.000293060960082,1.0473981894264186,1.0475520661115125,-1.3354960299999998,0.8729917867582245,0.3336227424231067,-0.4995899297875246,1.5955138062370622,3.18321,1.2494311251122743,1.9951002539473086,1.1463409039084442,2.2870650284979246,2.5477274705430086,0.7148855730000001,2.7631716359793645,0.3203345965252944,-0.7423707533646393,2.854151164946317,6.92366,1.9409596879513322,2.4258210584757958,1.2442803111301375,3.0184013813863024,3.5671323021179635,10.571373999999999,9.510466979452827,-0.7167414551147351,0.9702467748608066,14.219807678556647,25.6107,10.230046155449948,1.801058114071453,1.1946428417763129,2.1516211835986074,2.5034784409409703
LOW,140,240,1769917628.677,1769917635.5896,1769917632.2268763,0.29375733,0.07734703569213949,-0.3489586034385438,-0.9171517858753941,0.303769539057309,0.422607,0.28815769200640234,1.391209274344888,1.034083265453526,1.4386262293437921,1.4665824016615543,-0.10526366660000001,0.07987052501223389,0.35263641874068935,-0.43445244212529976,0.13213531046546886,0.25293,0.10063617057676201,1.9141741833353363,1.1615295576125146,2.22336989236279,2.5133110545683293,-1.0788277,0.02551865540560473,0.13029734169603166,-0.8154538849294606,1.0791294677011651,1.12695,1.078676509671339,1.0443139898688016,1.0002797181618206,1.0446061034584113,1.044752518383263,-1.0457248469,0.9628261984548814,0.47175464527514943,0.011870023658887341,1.4214692201574775,2.96183,1.0756196866917689,2.0836399114374586,1.1697499659367874,2.437337715428498,2.753603375473311,0.916717593,2.7828598721479314,0.19952511644954102,-0.9113345320689774,2.9299624935017374,6.92366,2.0776652358451857,2.36305413989283,1.2169856879665553,2.8758030681396924,3.33242328001098,5.462368744,13.14475329760366,-0.502232872326556,-0.4879340416086575,14.234535874073675,25.6107,9.990937034839634,1.7991945945105596,1.207793534058163,2.1730555977622523,2.5633931943212453
LOW,160,260,1769917630.327,1769917636.7351,1769917633.5258508,0.29325928,0.08004159476673113,-0.2846010611536522,-1.0472812944072492,0.30398628620205875,0.422607,0.28729752490901506,1.3902173196033403,1.0365785737524102,1.4410694863603293,1.4709733407339185,-0.1091406223,0.07902711599673908,0.5042142294854938,-0.12504400631292567,0.13474776621077364,0.25293,0.10895795141326219,1.8770626564923136,1.1324364478822229,2.125654167170525,2.3213542171022663,-1.0788304,0.024009654054983794,0.025982009780467746,-0.8606507301270638,1.0790975375062257,1.12695,1.078696735886663,1.044344890828275,1.0002476177036037,1.0446034891119123,1.0447329286425195,-0.7969465528,0.985911124476378,0.27939190935046365,-0.33105125240480415,1.2677320510999472,2.66412,0.9049789855235009,2.101485087237857,1.205698301045598,2.533756999355344,2.943847362885331,0.8903051859999997,2.7101780207999773,0.15579024294353574,-0.9077564743160296,2.852666862542098,6.92366,2.0901416306273948,2.427083264054926,1.19810007241498,2.9078886344213926,3.312531504346782,-1.0258777559999996,13.672722778230233,-0.011656573370731754,-1.016233089318999,13.711155069526104,25.0763,9.68652298565302,1.828897702115093,1.2044347857827167,2.202788012065495,2.588782377034691
LOW,180,280,1769917631.5529,1769917638.3851,1769917634.818836,0.29315677,0.07729147118859299,-0.34780872331136287,-0.9991304475302005,0.3031746416099638,0.422607,0.2875712074932078,1.3939391426532524,1.034172404102978,1.441573394330958,1.4695734099526694,-0.07771727810000001,0.10710914103367304,0.6340431851737719,-0.18765362988530487,0.13233421102739837,0.25293,0.10287202559027207,1.9112971470970086,1.154039742688445,2.205712867836991,2.4586859114390562,-1.0802,0.024452754855026047,0.20725808745037883,-0.798222443846591,1.080476736084586,1.12695,1.0800612448001234,1.0430118135479927,1.0002561896728253,1.0432790224032584,1.043413052200159,-0.5621374148,0.9965518615822769,0.36259321513731874,-0.2809722713622613,1.1441652354188745,2.42748,0.8068092143814791,2.121616637924949,1.210512266640422,2.5682429653165615,3.008741046495074,0.568320596,2.5942137639456373,0.22384267824773685,-0.8860305540442424,2.6557359343283333,6.92366,2.0165254932152297,2.6070588986291945,1.1780090449396716,3.07113896327565,3.433460188475295,-6.612899155999998,11.843131185914977,0.3637716452138395,-0.6912074463650959,13.564298416586736,25.0763,9.493571788644052,1.8486986373977237,1.210413538230862,2.2376898588151524,2.6413978382715317
